,county_name,county_fips,geoid,tot_fam_acs18,tot_fam_moe_acs18,tot_fam_acs13,tot_fam_moe_acs13,pop_spfam_acs18,pop_spfam_acs13,male_hh_child_acs18,male_hh_child_moe_acs18,male_hh_child_acs13,male_hh_child_moe_acs13,female_hh_child_acs18,female_hh_child_moe_acs18,female_hh_child_acs13,female_hh_child_moe_acs13,pct_spfam_acs18,pct_spfam_acs13,moe_over_est_acs18,moe_over_est_acs13
135,Napa,055,06055201900,298,52,309,78,0,15,0,12,0,12,0,12,15,22,0.0,0.04854368932038835,1,1
136,Napa,055,06055201500,523,83,659,81,6,35,0,12,15,15,6,9,20,21,0.011472275334608031,0.05311077389984825,1,1
137,Napa,055,06055202000,1346,170,1381,108,245,314,70,73,262,138,175,105,52,47,0.18202080237741455,0.2273714699493121,1,0
138,Napa,055,06055201300,692,93,582,94,83,32,17,27,0,12,66,62,32,41,0.1199421965317919,0.054982817869415807,1,1
139,Napa,055,06055200501,1164,128,1208,144,230,257,96,76,136,89,134,80,121,83,0.19759450171821305,0.21274834437086093,0,0
140,Napa,055,06055200503,310,82,413,92,3,36,3,5,31,36,0,12,5,8,0.00967741935483871,0.08716707021791767,1,1
141,Sonoma,097,06097151402,2042,220,2103,202,583,484,118,98,184,134,465,162,300,140,0.28550440744368266,0.2301474084640989,0,0
142,Sonoma,097,06097152100,471,89,509,114,43,90,22,25,9,16,21,23,81,62,0.09129511677282377,0.17681728880157171,1,1
143,Sonoma,097,06097152300,990,86,1104,98,59,80,35,39,12,20,24,22,68,44,0.0595959595959596,0.07246376811594203,1,1
144,Sonoma,097,06097152400,2618,286,2805,246,88,247,88,84,119,65,0,17,128,99,0.03361344537815126,0.08805704099821747,1,0
145,Sonoma,097,06097152600,2311,155,2323,198,150,95,63,55,24,33,87,55,71,52,0.06490696668109043,0.04089539388721481,0,1
146,Sonoma,097,06097153102,1220,94,1026,119,282,149,209,111,45,45,73,55,104,59,0.23114754098360657,0.145224171539961,0,0
147,Sonoma,097,06097153705,832,134,943,103,106,122,14,22,0,12,92,58,122,75,0.12740384615384615,0.12937433722163308,1,1
148,Sonoma,097,06097153706,1147,108,1027,144,87,25,0,12,10,15,87,49,15,24,0.07585004359197908,0.024342745861733205,1,1
