"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG"
"54","06001405401","06","001","405401",4087,4087,4062,4062,1655,353,3913,1448,1011,223,425,1595,2322,372,1051,403,0.0545632493271348,0.247369708832885,1.20396600566572,0.40761564017378,0.571639586410635,0.0915805022156573,0.243504531722054,0.725828729281768,0,0,1,0,1,1,1,1,5,1
"55","06001405402","06","001","405402",3239,3239,3155,3170,1155,443,3065,1024,449,159,585,1199,2073,301,673,270,0.0490892250694659,0.138623031799938,1.32054176072235,0.391190864600326,0.657052297939778,0.0949526813880126,0.233766233766234,0.6572265625,0,0,1,0,1,1,1,1,5,1
"56","06001405500","06","001","405500",4104,4104,4104,4104,1615,420,3922,1311,487,194,396,1193,1715,602,906,228,0.047270955165692,0.118664717348928,0.942857142857143,0.304181540030597,0.417884990253411,0.146686159844055,0.141176470588235,0.691075514874142,0,0,1,0,1,1,1,1,5,1
"57","06001405600","06","001","405600",3148,3148,3148,3148,1411,401,2944,948,675,108,367,539,945,332,738,137,0.0343074968233799,0.214421855146125,0.915211970074813,0.183084239130435,0.300190597204574,0.105463786531131,0.0970942593905032,0.778481012658228,0,0,1,0,0,1,0,1,3,1
"58","06001405700","06","001","405700",3701,3701,3647,3701,1372,328,3462,1042,878,41,470,1032,2009,564,762,230,0.0110780870035126,0.237233180221562,1.43292682926829,0.298093587521664,0.550863723608445,0.152391245609295,0.167638483965015,0.731285988483685,0,0,1,0,1,1,1,1,5,1
"59","06001405800","06","001","405800",4237,4237,4207,4237,1320,494,4041,843,863,143,572,1666,2070,440,531,213,0.0337502950200614,0.203681850365825,1.15789473684211,0.41227418955704,0.492037081055384,0.103847061600189,0.161363636363636,0.629893238434164,0,0,1,0,1,1,1,1,5,1
"60","06001405901","06","001","405901",4293,4293,4293,4293,1057,508,4060,715,1566,161,659,1922,2878,585,445,199,0.0375029117167482,0.364779874213836,1.29724409448819,0.473399014778325,0.670393664104356,0.136268343815514,0.188268684957427,0.622377622377622,0,0,1,0,1,1,1,1,5,1
"61","06001405902","06","001","405902",3170,3170,3161,3156,916,354,3020,678,914,141,439,1442,1844,498,439,204,0.0444794952681388,0.288328075709779,1.24011299435028,0.477483443708609,0.58335969629864,0.157794676806084,0.222707423580786,0.647492625368732,0,0,1,0,1,1,1,1,5,1
"62","06001406000","06","001","406000",3447,3447,3447,3447,1448,252,3296,1289,347,265,293,1427,2155,654,994,380,0.0768784450246591,0.100667246881346,1.16269841269841,0.432949029126214,0.625181317087322,0.189730200174064,0.262430939226519,0.771140418929403,0,0,1,0,1,1,1,1,5,1
"63","06001406100","06","001","406100",4835,4835,4810,4835,1496,470,4513,1033,2973,72,653,1374,2147,432,676,281,0.0148914167528438,0.614891416752844,1.38936170212766,0.304453800132949,0.446361746361746,0.0893485005170631,0.18783422459893,0.654404646660213,0,0,1,0,1,1,1,1,5,1
"64","06001406201","06","001","406201",4296,4296,4190,4247,1352,646,3934,1091,1902,128,783,1393,2434,510,697,351,0.0297951582867784,0.442737430167598,1.21207430340557,0.354092526690391,0.58090692124105,0.120084765716977,0.259615384615385,0.638863428047663,0,0,1,0,1,1,1,1,5,1
"65","06001406202","06","001","406202",4674,4674,4479,4479,1305,663,4269,1163,2986,194,666,2209,2958,528,777,257,0.0415062045357296,0.638853230637569,1.00452488687783,0.517451393769033,0.660415271265908,0.1178834561286,0.196934865900383,0.668099742046432,0,0,1,0,1,1,1,1,5,1
"66","06001406300","06","001","406300",4148,4148,4148,4148,1203,563,3844,774,1294,145,767,1547,2114,471,601,208,0.0349566055930569,0.311957569913211,1.36234458259325,0.402445369406868,0.509643201542912,0.113548698167792,0.172901080631754,0.776485788113695,0,0,1,0,1,1,1,1,5,1
"67","06001406400","06","001","406400",2218,2218,2104,2104,716,290,2125,436,359,316,348,473,780,494,233,137,0.142470694319207,0.161857529305681,1.2,0.222588235294118,0.370722433460076,0.234790874524715,0.191340782122905,0.534403669724771,1,0,1,0,1,1,1,1,6,1
"68","06001406500","06","001","406500",6574,6574,6456,6574,2018,943,6165,1430,3204,183,990,2269,3509,669,956,372,0.0278369333738972,0.487374505628232,1.04984093319194,0.368045417680454,0.543525402726146,0.101764526924247,0.184340931615461,0.668531468531468,0,0,1,0,1,1,1,1,5,1
"69","06001406601","06","001","406601",4835,4835,4835,4835,1679,683,4537,885,1287,353,812,1205,1960,780,576,271,0.0730093071354705,0.266184074457084,1.18887262079063,0.265594004849019,0.405377456049638,0.161323681489142,0.161405598570578,0.650847457627119,0,0,1,0,1,1,1,1,5,1
"70","06001406602","06","001","406602",2767,2767,2767,2767,959,289,2500,662,699,65,316,774,1377,334,485,120,0.023491145645103,0.252620166245031,1.09342560553633,0.3096,0.49765088543549,0.12070834839176,0.125130344108446,0.732628398791541,0,0,1,0,1,1,1,1,5,1
