"","state","county","tract","B25064_001E","B19013_001E","B25003_001E","B25003_002E","B25003_003E","B25003A_001E","B25003A_002E","B25003A_003E","B25003B_001E","B25003B_002E","B25003B_003E","B25003C_001E","B25003C_002E","B25003C_003E","B25003D_001E","B25003D_002E","B25003D_003E","B25003E_001E","B25003E_002E","B25003E_003E","B25003F_001E","B25003F_002E","B25003F_003E","B25003G_001E","B25003G_002E","B25003G_003E","B25003H_001E","B25003H_002E","B25003H_003E","B25003I_001E","B25003I_002E","B25003I_003E"
"137","06","001","423100",1296,60037,2011,694,1317,1118,463,655,348,85,263,5,0,5,333,75,258,0,0,0,61,8,53,146,63,83,1071,452,619,146,57,89
"138","06","001","423200",1375,49375,1130,360,770,553,256,297,283,37,246,13,5,8,63,54,9,51,0,51,71,0,71,96,8,88,489,256,233,167,0,167
"139","06","001","423300",1295,77039,1665,867,798,854,472,382,603,278,325,9,0,9,157,99,58,0,0,0,26,10,16,16,8,8,760,402,358,167,80,87
"140","06","001","423400",1365,76458,2084,992,1092,1061,549,512,405,199,206,0,0,0,242,111,131,0,0,0,111,72,39,265,61,204,934,492,442,303,129,174
"141","06","001","423500",1124,39780,1473,413,1060,926,289,637,151,49,102,27,0,27,235,45,190,0,0,0,23,8,15,111,22,89,838,264,574,157,33,124
"142","06","001","423601",1573,83824,1170,520,650,927,420,507,19,9,10,0,0,0,122,30,92,0,0,0,46,41,5,56,20,36,891,384,507,82,64,18
"143","06","001","423602",1384,27890,2262,299,1963,1314,211,1103,57,0,57,33,0,33,683,73,610,36,0,36,24,0,24,115,15,100,1175,211,964,151,0,151
"144","06","001","423700",1272,83347,1359,584,775,1034,523,511,39,0,39,16,0,16,210,61,149,0,0,0,28,0,28,32,0,32,1009,505,504,41,18,23
"145","06","001","423800",2093,137171,1289,1008,281,1163,892,271,0,0,0,0,0,0,122,112,10,0,0,0,4,4,0,0,0,0,1077,864,213,90,32,58
"146","06","001","423901",1185,70417,859,328,531,565,218,347,153,69,84,0,0,0,54,25,29,0,0,0,48,7,41,39,9,30,518,213,305,106,12,94
"147","06","001","423902",1697,82000,726,231,495,612,201,411,5,5,0,6,6,0,66,5,61,0,0,0,22,0,22,15,14,1,565,196,369,62,15,47
"148","06","001","424001",1380,58411,1543,431,1112,701,242,459,563,113,450,0,0,0,84,15,69,0,0,0,133,23,110,62,38,24,661,226,435,180,39,141
"149","06","001","424002",1211,58643,958,428,530,422,188,234,355,152,203,7,0,7,70,31,39,0,0,0,56,47,9,48,10,38,369,169,200,126,76,50
"150","06","001","425101",1530,64019,1161,564,597,677,407,270,103,41,62,6,0,6,293,98,195,8,8,0,0,0,0,74,10,64,659,407,252,28,0,28
"151","06","001","425102",2151,92296,1798,577,1221,802,212,590,147,9,138,4,4,0,682,279,403,17,0,17,17,8,9,129,65,64,766,182,584,127,74,53
"152","06","001","425103",2056,90556,1380,529,851,715,301,414,119,8,111,27,27,0,387,160,227,0,0,0,39,28,11,93,5,88,664,293,371,124,63,61
"153","06","001","425104",1328,56750,1924,620,1304,823,322,501,518,98,420,30,9,21,297,158,139,0,0,0,61,0,61,195,33,162,714,277,437,289,94,195
"154","06","001","426100",2824,212386,2216,2034,182,1816,1661,155,18,18,0,0,0,0,349,335,14,0,0,0,13,0,13,20,20,0,1796,1641,155,33,20,13
"155","06","001","426200",2208,168713,1709,1443,266,1370,1143,227,0,0,0,0,0,0,293,283,10,0,0,0,11,0,11,35,17,18,1296,1090,206,91,53,38
"156","06","001","427100",1677,116581,1401,1039,362,1215,904,311,22,0,22,0,0,0,153,135,18,2,0,2,9,0,9,0,0,0,1160,872,288,64,32,32
"157","06","001","427200",1337,67404,1663,670,993,971,520,451,129,4,125,35,35,0,244,70,174,24,17,7,153,24,129,107,0,107,834,485,349,353,87,266
"158","06","001","427300",1265,78654,1936,962,974,991,547,444,131,43,88,14,4,10,648,319,329,10,10,0,66,0,66,76,39,37,868,493,375,209,64,145
"159","06","001","427600",1575,50099,1838,295,1543,599,143,456,439,14,425,0,0,0,618,125,493,33,13,20,24,0,24,125,0,125,511,143,368,138,0,138
"160","06","001","427700",1528,80000,2284,810,1474,1537,573,964,135,11,124,0,0,0,351,179,172,13,0,13,157,47,110,91,0,91,1495,573,922,199,47,152
"161","06","001","427800",1416,98348,2009,819,1190,1383,684,699,58,0,58,18,0,18,323,74,249,9,0,9,75,32,43,143,29,114,1216,582,634,280,134,146
"162","06","001","427900",1473,81117,2211,687,1524,1264,546,718,335,0,335,9,9,0,338,85,253,0,0,0,108,0,108,157,47,110,1104,527,577,350,35,315
