TRACT_CODE,TENURE_RENT,TENURE_TOT,TENURE_OWN,B25064_001E_2011,B25064_001E_2016,Rent_Percent_Change
84006013347000,346,2382,2036,1216,1440,0.184210526
84006013348000,235,1668,1433,2001,2012,0.005497251
84006013349000,873,2041,1168,1616,1570,-0.028465347
84006013350000,1173,2591,1418,1381,1812,0.312092686
84006013351101,157,1926,1769,1376,1031,-0.250726744
84006013351102,323,2697,2374,1029,1231,0.196307094
84006013351103,61,1276,1215,1521,1379,-0.093359632
84006013351200,95,2132,2037,2001,3501,0.749625187
84006013352101,71,797,726,2001,2331,0.164917541
84006013352102,127,1788,1661,2001,2433,0.215892054
84006013352201,634,2342,1708,1536,1793,0.167317708
84006013352202,221,1032,811,2001,2246,0.122438781
84006013353001,96,1317,1221,1850,-666666666,-360361.36
84006013353002,139,1533,1394,2001,2463,0.230884558
84006013354001,54,731,677,1790,-666666666,-372440.4782
84006013354002,507,2595,2088,1440,-666666666,-462963.9625
84006013355107,311,1704,1393,1652,2104,0.273607748
84006013355108,963,3725,2762,2001,2225,0.111944028
84006013355109,331,2218,1887,1200,1817,0.514166667
84006013355110,363,1112,749,1897,2049,0.080126516
84006013355111,502,1923,1421,2001,2074,0.036481759
84006013355112,193,2094,1901,1830,-666666666,-364299.7246
84006013355113,179,1707,1528,2001,3501,0.749625187
84006013355114,601,3461,2860,1958,2539,0.296731359
84006013355115,1441,2514,1073,1448,1749,0.207872928
84006013355116,399,2167,1768,2001,2546,0.272363818
84006013355117,255,1902,1647,2001,3226,0.612193903
84006013355200,1147,2692,1545,1429,1973,0.380685794
84006013355301,437,2870,2433,1596,2125,0.331453634
84006013355302,110,1198,1088,2001,1992,-0.004497751
84006013355304,341,3165,2824,1465,2134,0.45665529
84006013355306,196,1826,1630,1481,2054,0.386900743
84006013356001,214,1240,1026,1568,1448,-0.076530612
84006013356002,338,1892,1554,1771,1655,-0.065499718
84006013357000,812,1482,670,911,1136,0.246981339
84006013358000,1012,2073,1061,963,1148,0.192107996
84006013359102,628,1892,1264,1304,1575,0.207822086
84006013359103,811,1984,1173,1065,1225,0.150234742
84006013359104,255,889,634,1665,1612,-0.031831832
84006013359105,263,1522,1259,1767,2288,0.294850028
84006013359202,418,2210,1792,2001,1894,-0.053473263
84006013359203,496,2291,1795,1818,1781,-0.020352035
84006013359204,203,1487,1284,1204,1431,0.188538206
84006013360101,346,1654,1308,1820,1562,-0.141758242
84006013360102,193,1489,1296,2001,2458,0.228385807
84006013360200,733,1744,1011,1104,1351,0.223731884
84006013361000,702,1739,1037,1084,1221,0.126383764
84006013362000,268,1213,945,1675,1401,-0.16358209
84006013363000,882,2729,1847,1327,1508,0.13639789
84006013364002,680,1810,1130,1121,1531,0.365744871
84006013365002,1026,1574,548,974,1135,0.165297741
84006013365003,1778,2248,470,1388,1524,0.097982709
84006013366001,545,1324,779,1257,1407,0.119331742
84006013366002,1079,1685,606,1163,1215,0.044711952
