GEOID,STATE,COUNTY_FIPS,TRACT,TOT_POP_MIN,TOT_POP_SEN,TOT_POP_POV,TOT_POP_CIV_NI,TOT_HH,TOT_FAM,TOT_POP_OVER5,POP_MINORITY,POP_OVER75,POP_SPFAM,POP_LEP,POP_BELOW200,POP_DISABILITY,POP_HUS_RENT50,POP_ZVHHS,PCT_OVER75,PCT_MINORITY,PCT_SPFAM,PCT_LEP,PCT_BELOW200,PCT_DISAB,PCT_ZVHHS,PCT_HUS_RENT50,OVER75_HALFSD,MINORITY_HALFSD,SPFAM_HALFSD,DISAB_HALFSD,LEP_HALFSD,BELOW200_HALFSD,ZVHH_HALFSD,HUS_RENT50_HALFSD,Count_DisadFact_HALFSD,COC_FLAG_2018,COC_CLASS
6001405302,6,1,405302,2616,2616,2616,2616,1488,469,2468,1934,267,98,632,1158,497,430,485,0.10206422,0.739296636,0.208955224,0.256077796,0.44266055,0.189984709,0.32594086,0.288978495,1,1,1,1,1,1,1,1,6,1,High
6001405401,6,1,405401,4087,4087,4062,4062,1655,794,3913,3401,223,114,1212,2322,372,397,403,0.054563249,0.832150722,0.143576826,0.309736775,0.571639586,0.091580502,0.243504532,0.239879154,0,1,0,0,1,1,1,1,3,1,High
6001405402,6,1,405402,3239,3239,3155,3170,1155,718,3065,2930,159,190,610,2073,301,351,270,0.049089225,0.904600185,0.264623955,0.199021207,0.657052298,0.094952681,0.233766234,0.303896104,0,1,1,0,1,1,1,1,4,1,High
6001405500,6,1,405500,4104,4104,4104,4104,1615,921,3922,3263,194,204,867,1715,602,405,228,0.047270955,0.795077973,0.221498371,0.221060683,0.41788499,0.14668616,0.141176471,0.250773994,0,1,1,1,1,1,1,1,5,1,High
6001405600,6,1,405600,3148,3148,3148,3148,1411,643,2944,2234,108,230,282,945,332,210,137,0.034307497,0.709656925,0.357698289,0.095788043,0.300190597,0.105463787,0.097094259,0.148830617,0,1,1,0,0,1,0,0,1,1,High
6001405700,6,1,405700,3701,3701,3647,3701,1372,681,3462,3272,41,164,638,2009,564,280,230,0.011078087,0.884085382,0.24082232,0.18428654,0.550863724,0.152391246,0.167638484,0.204081633,0,1,1,1,1,1,1,1,5,1,High
6001405800,6,1,405800,4237,4237,4207,4237,1320,923,4041,3773,143,196,1042,2070,440,312,213,0.033750295,0.890488553,0.212351029,0.257856966,0.492037081,0.103847062,0.161363636,0.236363636,0,1,1,0,1,1,1,1,4,1,High
6001405901,6,1,405901,4293,4293,4293,4293,1057,879,4060,4172,161,209,1205,2878,585,270,199,0.037502912,0.971814582,0.237770193,0.29679803,0.670393664,0.136268344,0.188268685,0.255439924,0,1,1,1,1,1,1,1,5,1,Highest
6001405902,6,1,405902,3170,3170,3161,3156,916,702,3020,2981,141,119,1007,1844,498,239,204,0.044479495,0.940378549,0.16951567,0.333443709,0.583359696,0.157794677,0.222707424,0.260917031,0,1,0,1,1,1,1,1,4,1,Highest
6001406000,6,1,406000,3447,3447,3447,3447,1448,613,3296,2661,265,41,1039,2155,654,295,380,0.076878445,0.771975631,0.066884176,0.315230583,0.625181317,0.1897302,0.262430939,0.203729282,0,1,0,1,1,1,1,1,4,1,High
